SMU,42,TCU,34
Texas Tech,35,Texas,70
Boise St.,27,Utah St.,3
Toledo,22,Ball St.,12
Texas St.,21,Eastern Mich.,59
San Jose St.,3,Western Mich.,23
Washington St.,13,Utah,24
Louisville,31,Florida St.,23
Kent St.,16,Maryland,37
UTSA,31,Memphis,28
Illinois,9,Purdue,13
Wyoming,24,UConn,22
Kansas,33,Duke,52
Arkansas St.,34,Tulsa,41
Louisiana,28,Ga. Southern,20
Buffalo,35,Old Dominion,34
Navy,20,Houston,28
North Texas,17,Louisiana Tech,24
Kentucky,16,South Carolina,10
Fla. Atlantic,7,Air Force,31
Hawaii,41,New Mexico St.,21
UAB,28,Tulane,21
Troy,16,ULM,29
Indiana,33,Western Ky.,31
New Mexico,13,UTEP,20
California,24,Washington,31
Colorado,13,Arizona St.,35
Oregon St.,45,Southern California,27
Virginia,30,Miami (FL),28
Iowa,51,Maryland,14
BYU,34,Utah St.,20
Houston,45,Tulsa,10
Ole Miss,21,Alabama,42
Arkansas,0,Georgia,37
Oregon,24,Stanford,31
Indiana,0,Penn St.,24
Oklahoma,37,Kansas St.,31
Cincinnati,24,Notre Dame,13
Florida,13,Kentucky,20
Ohio St.,52,Rutgers,13
Michigan,38,Wisconsin,17
Mississippi St.,26,Texas A&M,22
ULM,6,Coastal Carolina,59
Western Ky.,31,Michigan St.,48
Fresno St.,24,Hawaii,27
Baylor,14,Oklahoma St.,24
Arizona St.,42,UCLA,23
Auburn,24,LSU,19
Louisiana Tech,27,NC State,34
Louisville,34,Wake Forest,37
Boston College,13,Clemson,19
Western Mich.,24,Buffalo,17
Pittsburgh,52,Georgia Tech,21
Charlotte,14,Illinois,24
Toledo,45,Massachusetts,7
Tennessee,62,Missouri,24
Duke,7,North Carolina,38
Minnesota,20,Purdue,13
Texas,32,TCU,27
Memphis,31,Temple,34
Eastern Mich.,20,Northern Ill.,27
Southern California,37,Colorado,14
App State,45,Georgia St.,16
Ohio,34,Akron,17
Nevada,41,Boise St.,31
Tulane,29,East Carolina,52
FIU,21,Fla. Atlantic,58
Syracuse,30,Florida St.,33
Bowling Green,20,Kent St.,27
Central Mich.,17,Miami (OH),28
UCF,30,Navy,34
Troy,14,South Carolina,23
Texas Tech,23,West Virginia,20
South Fla.,17,SMU,41
Army West Point,16,Ball St.,28
Washington St.,21,California,6
UNLV,17,UTSA,24
Air Force,38,New Mexico,10
Southern Miss.,19,Rice,24
Kansas,7,Iowa St.,59
Marshall,28,Middle Tenn.,34
Liberty,36,UAB,12
Northwestern,7,Nebraska,56
UConn,28,Vanderbilt,30
Louisiana,20,South Alabama,18
Washington,24,Oregon St.,27
Old Dominion,21,UTEP,28
New Mexico St.,31,San Jose St.,37
Arkansas St.,33,Ga. Southern,59
Coastal Carolina,52,Arkansas St.,20
Houston,40,Tulane,22
Temple,3,Cincinnati,52
Stanford,10,Arizona St.,28
Charlotte,45,FIU,33
Alabama,38,Texas A&M,41
Georgia,34,Auburn,10
Penn St.,20,Iowa,23
Oklahoma,55,Texas,48
Maryland,17,Ohio St.,66
Michigan,32,Nebraska,29
Boise St.,26,BYU,17
Michigan St.,31,Rutgers,13
Arkansas,51,Ole Miss,52
Notre Dame,32,Virginia Tech,29
LSU,21,Kentucky,42
Wake Forest,40,Syracuse,37
Vanderbilt,0,Florida,42
SMU,31,Navy,24
New Mexico,7,San Diego St.,31
West Virginia,20,Baylor,45
Akron,35,Bowling Green,20
South Carolina,20,Tennessee,45
Northern Ill.,22,Toledo,20
Georgia Tech,31,Duke,27
Old Dominion,13,Marshall,20
Virginia,34,Louisville,33
San Jose St.,14,Colorado St.,32
Miami (OH),12,Eastern Mich.,13
Wisconsin,24,Illinois,0
Middle Tenn.,13,Liberty,41
UConn,13,Massachusetts,27
Florida St.,35,North Carolina,25
Central Mich.,30,Ohio,27
Fla. Atlantic,14,UAB,31
Ball St.,45,Western Mich.,20
North Texas,35,Missouri,48
Oregon St.,24,Washington St.,31
East Carolina,16,UCF,20
Wyoming,14,Air Force,24
Buffalo,38,Kent St.,48
UTEP,26,Southern Miss.,13
South Alabama,31,Texas St.,33
TCU,52,Texas Tech,31
Ga. Southern,24,Troy,27
UTSA,52,Western Ky.,46
Utah,42,Southern California,26
Georgia St.,55,ULM,21
Memphis,29,Tulsa,35
UCLA,34,Arizona,16
New Mexico St.,28,Nevada,55
App State,13,Louisiana,41
Navy,17,Memphis,35
Ga. Southern,14,South Alabama,41
California,17,Oregon,24
San Diego St.,19,San Jose St.,13
Marshall,49,North Texas,21
Clemson,17,Syracuse,14
Kentucky,13,Georgia,30
Purdue,24,Iowa,7
UCF,21,Cincinnati,56
TCU,31,Oklahoma,52
Alabama,49,Mississippi St.,9
Michigan St.,20,Indiana,15
Oklahoma St.,32,Texas,24
Ole Miss,31,Tennessee,26
Auburn,38,Arkansas,23
Arizona St.,21,Utah,35
BYU,24,Baylor,38
Florida,42,LSU,49
Texas A&M,35,Missouri,14
NC State,33,Boston College,7
Ohio,26,Buffalo,27
Nebraska,23,Minnesota,30
Rutgers,7,Northwestern,21
Tulsa,32,South Fla.,31
Duke,0,Virginia,48
Ball St.,38,Eastern Mich.,31
Akron,21,Miami (OH),34
Troy,31,Texas St.,28
Toledo,23,Central Mich.,26
Arizona,0,Colorado,34
Miami (FL),42,North Carolina,45
Bowling Green,26,Northern Ill.,34
Western Ky.,43,Old Dominion,20
UAB,34,Southern Miss.,0
Pittsburgh,28,Virginia Tech,7
Kent St.,31,Western Mich.,64
Fresno St.,17,Wyoming,0
Texas Tech,41,Kansas,14
Vanderbilt,20,South Carolina,21
Rice,0,UTSA,45
Colorado St.,36,New Mexico,7
Liberty,28,ULM,31
Utah St.,28,UNLV,24
Iowa St.,33,Kansas St.,20
Stanford,31,Washington St.,34
Army West Point,14,Wisconsin,20
UCLA,24,Washington,17
Air Force,24,Boise St.,17
Louisiana Tech,3,UTEP,19
Hawaii,28,Nevada,55
Coastal Carolina,27,App State,30
Tulane,26,SMU,55
Louisiana,28,Arkansas St.,27
Fla. Atlantic,38,Charlotte,9
San Jose St.,27,UNLV,20
Middle Tenn.,44,UConn,13
Memphis,7,UCF,24
Colorado St.,24,Utah St.,26
Washington,21,Arizona,16
Cincinnati,27,Navy,20
Oklahoma,35,Kansas,23
Tennessee,24,Alabama,52
Ohio St.,54,Indiana,7
Northwestern,7,Michigan,33
Illinois,20,Penn St.,18
Oklahoma St.,21,Iowa St.,24
Oregon,34,UCLA,31
LSU,17,Ole Miss,31
Southern California,16,Notre Dame,31
Wake Forest,70,Army West Point,56
South Carolina,14,Texas A&M,44
NC State,30,Miami (FL),31
San Diego St.,20,Air Force,14
Clemson,17,Pittsburgh,27
UTSA,45,Louisiana Tech,16
Wisconsin,30,Purdue,13
Eastern Mich.,55,Bowling Green,24
Northern Ill.,39,Central Mich.,38
Massachusetts,3,Florida St.,59
Kansas St.,25,Texas Tech,24
Syracuse,41,Virginia Tech,36
Kent St.,34,Ohio,27
Texas St.,16,Georgia St.,28
Buffalo,34,Akron,17
Miami (OH),24,Ball St.,17
Colorado,3,California,26
Maryland,16,Minnesota,34
Western Mich.,15,Toledo,34
Rice,30,UAB,24
BYU,21,Washington St.,19
New Mexico,14,Wyoming,3
East Carolina,24,Houston,31
Boston College,14,Louisville,28
Liberty,35,North Texas,26
Mississippi St.,45,Vanderbilt,6
Western Ky.,34,FIU,19
Nevada,32,Fresno St.,34
Temple,14,South Fla.,34
South Alabama,31,ULM,41
Utah,34,Oregon St.,42
West Virginia,29,TCU,17
Georgia Tech,40,Virginia,48
New Mexico St.,34,Hawaii,48
Troy,28,Coastal Carolina,35
South Fla.,14,East Carolina,29
Navy,20,Tulsa,17
UNLV,20,Nevada,51
Georgia,34,Florida,7
Cincinnati,31,Tulane,12
Texas Tech,21,Oklahoma,52
Penn St.,24,Ohio St.,33
Michigan,33,Michigan St.,37
Colorado,29,Oregon,52
Iowa,7,Wisconsin,27
Ole Miss,20,Auburn,31
North Carolina,34,Notre Dame,44
Kentucky,17,Mississippi St.,31
Duke,7,Wake Forest,45
Kansas,3,Oklahoma St.,55
Texas,24,Baylor,31
Miami (FL),38,Pittsburgh,34
SMU,37,Houston,44
Fresno St.,30,San Diego St.,20
Iowa St.,31,West Virginia,38
